City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Bangalore,01-01-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,02-01-2018,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,03-01-2018,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,04-01-2018,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,05-01-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,06-01-2018,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,07-01-2018,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,08-01-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,09-01-2018,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,10-01-2018,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,11-01-2018,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,12-01-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,13-01-2018,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,14-01-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,15-01-2018,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,16-01-2018,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,17-01-2018,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,18-01-2018,101,55.55,109.08,83.83,115.14,1.06,95.95
Bangalore,19-01-2018,100,55,108,83,114,1.05,95
Bangalore,20-01-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,21-01-2018,98,53.9,105.84,81.34,111.72,1.03,93.1
Bangalore,22-01-2018,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,23-01-2018,98,53.9,105.84,81.34,111.72,1.03,93.1
Bangalore,24-01-2018,101,55.55,109.08,83.83,115.14,1.06,95.95
Bangalore,25-01-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,26-01-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,27-01-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,28-01-2018,105,57.75,113.4,87.15,119.7,1.1,99.75
Bangalore,29-01-2018,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,30-01-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,31-01-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,01-02-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,02-02-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,03-02-2018,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,04-02-2018,80,44,86.4,66.4,91.2,0.84,76
Bangalore,05-02-2018,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,06-02-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,07-02-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,08-02-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,09-02-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,10-02-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,11-02-2018,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,12-02-2018,72,39.6,77.76,59.76,82.08,0.76,68.4
Bangalore,13-02-2018,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,14-02-2018,83,45.65,89.64,68.89,94.62,0.87,78.85
Bangalore,15-02-2018,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,16-02-2018,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,17-02-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,18-02-2018,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,19-02-2018,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,20-02-2018,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,21-02-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,22-02-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,23-02-2018,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,24-02-2018,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,25-02-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,26-02-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,27-02-2018,67,36.85,72.36,55.61,76.38,0.7,63.65
Bangalore,28-02-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,01-03-2018,72,39.6,77.76,59.76,82.08,0.76,68.4
Bangalore,02-03-2018,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,03-03-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,04-03-2018,86,47.3,92.88,71.38,98.04,0.9,81.7
Bangalore,05-03-2018,111,61.05,119.88,92.13,126.54,1.17,105.45
Bangalore,06-03-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,07-03-2018,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,08-03-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,09-03-2018,122,67.1,131.76,101.26,139.08,1.28,115.9
Bangalore,10-03-2018,127,69.85,137.16,105.41,144.78,1.33,120.65
Bangalore,11-03-2018,119,65.45,128.52,98.77,135.66,1.25,113.05
Bangalore,12-03-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,13-03-2018,76,41.8,82.08,63.08,86.64,0.8,72.2
Bangalore,14-03-2018,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,15-03-2018,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,16-03-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,17-03-2018,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,18-03-2018,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,19-03-2018,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,20-03-2018,114,62.7,123.12,94.62,129.96,1.2,108.3
Bangalore,21-03-2018,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,22-03-2018,124,68.2,133.92,102.92,141.36,1.3,117.8
Bangalore,23-03-2018,106,58.3,114.48,87.98,120.84,1.11,100.7
Bangalore,24-03-2018,109,59.95,117.72,90.47,124.26,1.14,103.55
Bangalore,25-03-2018,126,69.3,136.08,104.58,143.64,1.32,119.7
Bangalore,26-03-2018,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,27-03-2018,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,28-03-2018,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,29-03-2018,138,75.9,149.04,114.54,157.32,1.45,131.1
Bangalore,30-03-2018,130,71.5,140.4,107.9,148.2,1.37,123.5
Bangalore,31-03-2018,117,64.35,126.36,97.11,133.38,1.23,111.15
Bangalore,01-04-2018,112,61.6,120.96,92.96,127.68,1.18,106.4
Bangalore,02-04-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,03-04-2018,97,53.35,104.76,80.51,110.58,1.02,92.15
Bangalore,04-04-2018,106,58.3,114.48,87.98,120.84,1.11,100.7
Bangalore,05-04-2018,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,06-04-2018,116,63.8,125.28,96.28,132.24,1.22,110.2
Bangalore,07-04-2018,128,70.4,138.24,106.24,145.92,1.34,121.6
Bangalore,08-04-2018,108,59.4,116.64,89.64,123.12,1.13,102.6
Bangalore,09-04-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,10-04-2018,66,36.3,71.28,54.78,75.24,0.69,62.7
Bangalore,11-04-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,12-04-2018,90,49.5,97.2,74.7,102.6,0.95,85.5
