City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Chennai,01-01-2018,93,51.15,100.44,77.19,106.02,0.98,88.35
Chennai,02-01-2018,100,55,108,83,114,1.05,95
Chennai,03-01-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Chennai,04-01-2018,169,92.95,182.52,140.27,192.66,1.77,160.55
Chennai,05-01-2018,153,84.15,165.24,126.99,174.42,1.61,145.35
Chennai,06-01-2018,157,86.35,169.56,130.31,178.98,1.65,149.15
Chennai,07-01-2018,123,67.65,132.84,102.09,140.22,1.29,116.85
Chennai,08-01-2018,128,70.4,138.24,106.24,145.92,1.34,121.6
Chennai,09-01-2018,107,58.85,115.56,88.81,121.98,1.12,101.65
Chennai,10-01-2018,108,59.4,116.64,89.64,123.12,1.13,102.6
Chennai,11-01-2018,178,97.9,192.24,147.74,202.92,1.87,169.1
Chennai,12-01-2018,158,86.9,170.64,131.14,180.12,1.66,150.1
Chennai,13-01-2018,217,119.35,234.36,180.11,247.38,2.28,206.15
Chennai,14-01-2018,154,84.7,166.32,127.82,175.56,1.62,146.3
Chennai,15-01-2018,135,74.25,145.8,112.05,153.9,1.42,128.25
Chennai,16-01-2018,135,74.25,145.8,112.05,153.9,1.42,128.25
Chennai,17-01-2018,161,88.55,173.88,133.63,183.54,1.69,152.95
Chennai,18-01-2018,110,60.5,118.8,91.3,125.4,1.16,104.5
Chennai,19-01-2018,143,78.65,154.44,118.69,163.02,1.5,135.85
Chennai,20-01-2018,129,70.95,139.32,107.07,147.06,1.35,122.55
Chennai,21-01-2018,166,91.3,179.28,137.78,189.24,1.74,157.7
Chennai,22-01-2018,150,82.5,162,124.5,171,1.58,142.5
Chennai,23-01-2018,139,76.45,150.12,115.37,158.46,1.46,132.05
Chennai,24-01-2018,130,71.5,140.4,107.9,148.2,1.37,123.5
Chennai,25-01-2018,176,96.8,190.08,146.08,200.64,1.85,167.2
Chennai,26-01-2018,158,86.9,170.64,131.14,180.12,1.66,150.1
Chennai,27-01-2018,165,90.75,178.2,136.95,188.1,1.73,156.75
Chennai,28-01-2018,154,84.7,166.32,127.82,175.56,1.62,146.3
Chennai,29-01-2018,145,79.75,156.6,120.35,165.3,1.52,137.75
Chennai,30-01-2018,128,70.4,138.24,106.24,145.92,1.34,121.6
Chennai,31-01-2018,150,82.5,162,124.5,171,1.58,142.5
Chennai,01-02-2018,134,73.7,144.72,111.22,152.76,1.41,127.3
Chennai,02-02-2018,162,89.1,174.96,134.46,184.68,1.7,153.9
Chennai,03-02-2018,146,80.3,157.68,121.18,166.44,1.53,138.7
Chennai,04-02-2018,91,50.05,98.28,75.53,103.74,0.96,86.45
Chennai,05-02-2018,75,41.25,81,62.25,85.5,0.79,71.25
Chennai,06-02-2018,80,44,86.4,66.4,91.2,0.84,76
Chennai,07-02-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Chennai,08-02-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Chennai,09-02-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Chennai,10-02-2018,80,44,86.4,66.4,91.2,0.84,76
Chennai,11-02-2018,131,72.05,141.48,108.73,149.34,1.38,124.45
Chennai,12-02-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Chennai,13-02-2018,136,74.8,146.88,112.88,155.04,1.43,129.2
Chennai,14-02-2018,124,68.2,133.92,102.92,141.36,1.3,117.8
Chennai,15-02-2018,104,57.2,112.32,86.32,118.56,1.09,98.8
Chennai,16-02-2018,120,66,129.6,99.6,136.8,1.26,114
Chennai,17-02-2018,105,57.75,113.4,87.15,119.7,1.1,99.75
Chennai,18-02-2018,131,72.05,141.48,108.73,149.34,1.38,124.45
Chennai,19-02-2018,150,82.5,162,124.5,171,1.58,142.5
Chennai,20-02-2018,116,63.8,125.28,96.28,132.24,1.22,110.2
Chennai,21-02-2018,160,88,172.8,132.8,182.4,1.68,152
