City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,01-01-2018,406,223.3,438.48,336.98,462.84,4.26,385.7
Delhi,02-01-2018,418,229.9,451.44,346.94,476.52,4.39,397.1
Delhi,03-01-2018,382,210.1,412.56,317.06,435.48,4.01,362.9
Delhi,04-01-2018,366,201.3,395.28,303.78,417.24,3.84,347.7
Delhi,05-01-2018,390,214.5,421.2,323.7,444.6,4.1,370.5
Delhi,06-01-2018,405,222.75,437.4,336.15,461.7,4.25,384.75
Delhi,07-01-2018,355,195.25,383.4,294.65,404.7,3.73,337.25
Delhi,08-01-2018,288,158.4,311.04,239.04,328.32,3.02,273.6
Delhi,09-01-2018,359,197.45,387.72,297.97,409.26,3.77,341.05
Delhi,10-01-2018,352,193.6,380.16,292.16,401.28,3.7,334.4
Delhi,11-01-2018,309,169.95,333.72,256.47,352.26,3.24,293.55
Delhi,12-01-2018,298,163.9,321.84,247.34,339.72,3.13,283.1
Delhi,13-01-2018,359,197.45,387.72,297.97,409.26,3.77,341.05
Delhi,14-01-2018,321,176.55,346.68,266.43,365.94,3.37,304.95
Delhi,15-01-2018,331,182.05,357.48,274.73,377.34,3.48,314.45
Delhi,16-01-2018,255,140.25,275.4,211.65,290.7,2.68,242.25
Delhi,17-01-2018,353,194.15,381.24,292.99,402.42,3.71,335.35
Delhi,18-01-2018,400,220,432,332,456,4.2,380
Delhi,19-01-2018,406,223.3,438.48,336.98,462.84,4.26,385.7
Delhi,20-01-2018,323,177.65,348.84,268.09,368.22,3.39,306.85
Delhi,21-01-2018,276,151.8,298.08,229.08,314.64,2.9,262.2
Delhi,22-01-2018,342,188.1,369.36,283.86,389.88,3.59,324.9
Delhi,23-01-2018,324,178.2,349.92,268.92,369.36,3.4,307.8
Delhi,24-01-2018,270,148.5,291.6,224.1,307.8,2.84,256.5
Delhi,25-01-2018,243,133.65,262.44,201.69,277.02,2.55,230.85
Delhi,26-01-2018,261,143.55,281.88,216.63,297.54,2.74,247.95
Delhi,27-01-2018,286,157.3,308.88,237.38,326.04,3,271.7
Delhi,28-01-2018,300,165,324,249,342,3.15,285
Delhi,29-01-2018,302,166.1,326.16,250.66,344.28,3.17,286.9
Delhi,30-01-2018,270,148.5,291.6,224.1,307.8,2.84,256.5
Delhi,31-01-2018,244,134.2,263.52,202.52,278.16,2.56,231.8
Delhi,01-02-2018,274,150.7,295.92,227.42,312.36,2.88,260.3
Delhi,02-02-2018,293,161.15,316.44,243.19,334.02,3.08,278.35
Delhi,03-02-2018,243,133.65,262.44,201.69,277.02,2.55,230.85
Delhi,04-02-2018,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,05-02-2018,291,160.05,314.28,241.53,331.74,3.06,276.45
Delhi,06-02-2018,287,157.85,309.96,238.21,327.18,3.01,272.65
Delhi,07-02-2018,261,143.55,281.88,216.63,297.54,2.74,247.95
Delhi,08-02-2018,308,169.4,332.64,255.64,351.12,3.23,292.6
Delhi,09-02-2018,335,184.25,361.8,278.05,381.9,3.52,318.25
Delhi,10-02-2018,341,187.55,368.28,283.03,388.74,3.58,323.95
Delhi,11-02-2018,304,167.2,328.32,252.32,346.56,3.19,288.8
Delhi,12-02-2018,178,97.9,192.24,147.74,202.92,1.87,169.1
Delhi,13-02-2018,191,105.05,206.28,158.53,217.74,2.01,181.45
Delhi,14-02-2018,187,102.85,201.96,155.21,213.18,1.96,177.65
Delhi,15-02-2018,187,102.85,201.96,155.21,213.18,1.96,177.65
Delhi,16-02-2018,235,129.25,253.8,195.05,267.9,2.47,223.25
Delhi,17-02-2018,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,18-02-2018,257,141.35,277.56,213.31,292.98,2.7,244.15
Delhi,19-02-2018,294,161.7,317.52,244.02,335.16,3.09,279.3
Delhi,20-02-2018,296,162.8,319.68,245.68,337.44,3.11,281.2
Delhi,21-02-2018,308,169.4,332.64,255.64,351.12,3.23,292.6
Delhi,22-02-2018,300,165,324,249,342,3.15,285
Delhi,23-02-2018,302,166.1,326.16,250.66,344.28,3.17,286.9
Delhi,24-02-2018,320,176,345.6,265.6,364.8,3.36,304
Delhi,25-02-2018,266,146.3,287.28,220.78,303.24,2.79,252.7
Delhi,26-02-2018,156,85.8,168.48,129.48,177.84,1.64,148.2
Delhi,27-02-2018,160,88,172.8,132.8,182.4,1.68,152
Delhi,28-02-2018,272,149.6,293.76,225.76,310.08,2.86,258.4
Delhi,01-03-2018,257,141.35,277.56,213.31,292.98,2.7,244.15
Delhi,02-03-2018,260,143,280.8,215.8,296.4,2.73,247
Delhi,03-03-2018,203,111.65,219.24,168.49,231.42,2.13,192.85
Delhi,04-03-2018,178,97.9,192.24,147.74,202.92,1.87,169.1
Delhi,05-03-2018,172,94.6,185.76,142.76,196.08,1.81,163.4
Delhi,06-03-2018,167,91.85,180.36,138.61,190.38,1.75,158.65
Delhi,07-03-2018,185,101.75,199.8,153.55,210.9,1.94,175.75
Delhi,08-03-2018,245,134.75,264.6,203.35,279.3,2.57,232.75
Delhi,09-03-2018,280,154,302.4,232.4,319.2,2.94,266
Delhi,10-03-2018,170,93.5,183.6,141.1,193.8,1.79,161.5
Delhi,11-03-2018,170,93.5,183.6,141.1,193.8,1.79,161.5
Delhi,12-03-2018,214,117.7,231.12,177.62,243.96,2.25,203.3
Delhi,13-03-2018,217,119.35,234.36,180.11,247.38,2.28,206.15
Delhi,14-03-2018,267,146.85,288.36,221.61,304.38,2.8,253.65
Delhi,15-03-2018,297,163.35,320.76,246.51,338.58,3.12,282.15
Delhi,16-03-2018,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,17-03-2018,186,102.3,200.88,154.38,212.04,1.95,176.7
Delhi,18-03-2018,169,92.95,182.52,140.27,192.66,1.77,160.55
Delhi,19-03-2018,173,95.15,186.84,143.59,197.22,1.82,164.35
Delhi,20-03-2018,217,119.35,234.36,180.11,247.38,2.28,206.15
Delhi,21-03-2018,289,158.95,312.12,239.87,329.46,3.03,274.55
Delhi,22-03-2018,186,102.3,200.88,154.38,212.04,1.95,176.7
Delhi,23-03-2018,151,83.05,163.08,125.33,172.14,1.59,143.45
Delhi,24-03-2018,175,96.25,189,145.25,199.5,1.84,166.25
Delhi,25-03-2018,195,107.25,210.6,161.85,222.3,2.05,185.25
Delhi,26-03-2018,183,100.65,197.64,151.89,208.62,1.92,173.85
Delhi,27-03-2018,230,126.5,248.4,190.9,262.2,2.42,218.5
Delhi,28-03-2018,255,140.25,275.4,211.65,290.7,2.68,242.25
Delhi,29-03-2018,213,117.15,230.04,176.79,242.82,2.24,202.35
Delhi,30-03-2018,218,119.9,235.44,180.94,248.52,2.29,207.1
Delhi,31-03-2018,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,01-04-2018,195,107.25,210.6,161.85,222.3,2.05,185.25
Delhi,02-04-2018,219,120.45,236.52,181.77,249.66,2.3,208.05
Delhi,03-04-2018,207,113.85,223.56,171.81,235.98,2.17,196.65
Delhi,04-04-2018,203,111.65,219.24,168.49,231.42,2.13,192.85
Delhi,05-04-2018,290,159.5,313.2,240.7,330.6,3.05,275.5
Delhi,06-04-2018,208,114.4,224.64,172.64,237.12,2.18,197.6
Delhi,07-04-2018,143,78.65,154.44,118.69,163.02,1.5,135.85
Delhi,08-04-2018,141,77.55,152.28,117.03,160.74,1.48,133.95
Delhi,09-04-2018,120,66,129.6,99.6,136.8,1.26,114
Delhi,10-04-2018,230,126.5,248.4,190.9,262.2,2.42,218.5
Delhi,11-04-2018,141,77.55,152.28,117.03,160.74,1.48,133.95
Delhi,12-04-2018,99,54.45,106.92,82.17,112.86,1.04,94.05
Delhi,13-04-2018,188,103.4,203.04,156.04,214.32,1.97,178.6
Delhi,14-04-2018,217,119.35,234.36,180.11,247.38,2.28,206.15
Delhi,15-04-2018,224,123.2,241.92,185.92,255.36,2.35,212.8
Delhi,16-04-2018,285,156.75,307.8,236.55,324.9,2.99,270.75
Delhi,17-04-2018,244,134.2,263.52,202.52,278.16,2.56,231.8
Delhi,18-04-2018,228,125.4,246.24,189.24,259.92,2.39,216.6
Delhi,19-04-2018,244,134.2,263.52,202.52,278.16,2.56,231.8
Delhi,20-04-2018,246,135.3,265.68,204.18,280.44,2.58,233.7
Delhi,21-04-2018,356,195.8,384.48,295.48,405.84,3.74,338.2
Delhi,22-04-2018,211,116.05,227.88,175.13,240.54,2.22,200.45
Delhi,23-04-2018,160,88,172.8,132.8,182.4,1.68,152
Delhi,24-04-2018,254,139.7,274.32,210.82,289.56,2.67,241.3
Delhi,25-04-2018,266,146.3,287.28,220.78,303.24,2.79,252.7
Delhi,26-04-2018,313,172.15,338.04,259.79,356.82,3.29,297.35
Delhi,27-04-2018,310,170.5,334.8,257.3,353.4,3.26,294.5
Delhi,28-04-2018,301,165.55,325.08,249.83,343.14,3.16,285.95
Delhi,29-04-2018,248,136.4,267.84,205.84,282.72,2.6,235.6
Delhi,30-04-2018,209,114.95,225.72,173.47,238.26,2.19,198.55
Delhi,01-05-2018,177,97.35,191.16,146.91,201.78,1.86,168.15
Delhi,02-05-2018,153,84.15,165.24,126.99,174.42,1.61,145.35
Delhi,03-05-2018,160,88,172.8,132.8,182.4,1.68,152
Delhi,04-05-2018,139,76.45,150.12,115.37,158.46,1.46,132.05
Delhi,05-05-2018,173,95.15,186.84,143.59,197.22,1.82,164.35
Delhi,06-05-2018,269,147.95,290.52,223.27,306.66,2.82,255.55
Delhi,07-05-2018,211,116.05,227.88,175.13,240.54,2.22,200.45
Delhi,08-05-2018,208,114.4,224.64,172.64,237.12,2.18,197.6
Delhi,09-05-2018,163,89.65,176.04,135.29,185.82,1.71,154.85
Delhi,10-05-2018,190,104.5,205.2,157.7,216.6,2,180.5
Delhi,11-05-2018,256,140.8,276.48,212.48,291.84,2.69,243.2
Delhi,12-05-2018,304,167.2,328.32,252.32,346.56,3.19,288.8
Delhi,13-05-2018,215,118.25,232.2,178.45,245.1,2.26,204.25
Delhi,14-05-2018,130,71.5,140.4,107.9,148.2,1.37,123.5
