City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Hyderabad,01-01-2018,119,65.45,128.52,98.77,135.66,1.25,113.05
Hyderabad,02-01-2018,117,64.35,126.36,97.11,133.38,1.23,111.15
Hyderabad,03-01-2018,156,85.8,168.48,129.48,177.84,1.64,148.2
Hyderabad,04-01-2018,169,92.95,182.52,140.27,192.66,1.77,160.55
Hyderabad,05-01-2018,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,06-01-2018,146,80.3,157.68,121.18,166.44,1.53,138.7
Hyderabad,07-01-2018,139,76.45,150.12,115.37,158.46,1.46,132.05
Hyderabad,08-01-2018,142,78.1,153.36,117.86,161.88,1.49,134.9
Hyderabad,09-01-2018,153,84.15,165.24,126.99,174.42,1.61,145.35
Hyderabad,10-01-2018,155,85.25,167.4,128.65,176.7,1.63,147.25
Hyderabad,11-01-2018,152,83.6,164.16,126.16,173.28,1.6,144.4
Hyderabad,12-01-2018,151,83.05,163.08,125.33,172.14,1.59,143.45
Hyderabad,13-01-2018,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,14-01-2018,137,75.35,147.96,113.71,156.18,1.44,130.15
Hyderabad,15-01-2018,143,78.65,154.44,118.69,163.02,1.5,135.85
Hyderabad,16-01-2018,135,74.25,145.8,112.05,153.9,1.42,128.25
Hyderabad,17-01-2018,124,68.2,133.92,102.92,141.36,1.3,117.8
Hyderabad,18-01-2018,130,71.5,140.4,107.9,148.2,1.37,123.5
Hyderabad,19-01-2018,128,70.4,138.24,106.24,145.92,1.34,121.6
Hyderabad,20-01-2018,134,73.7,144.72,111.22,152.76,1.41,127.3
Hyderabad,21-01-2018,135,74.25,145.8,112.05,153.9,1.42,128.25
Hyderabad,22-01-2018,151,83.05,163.08,125.33,172.14,1.59,143.45
Hyderabad,23-01-2018,120,66,129.6,99.6,136.8,1.26,114
Hyderabad,24-01-2018,123,67.65,132.84,102.09,140.22,1.29,116.85
Hyderabad,25-01-2018,143,78.65,154.44,118.69,163.02,1.5,135.85
Hyderabad,26-01-2018,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,27-01-2018,148,81.4,159.84,122.84,168.72,1.55,140.6
Hyderabad,28-01-2018,137,75.35,147.96,113.71,156.18,1.44,130.15
Hyderabad,29-01-2018,141,77.55,152.28,117.03,160.74,1.48,133.95
Hyderabad,30-01-2018,143,78.65,154.44,118.69,163.02,1.5,135.85
Hyderabad,31-01-2018,126,69.3,136.08,104.58,143.64,1.32,119.7
Hyderabad,01-02-2018,117,64.35,126.36,97.11,133.38,1.23,111.15
