City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Mumbai,01-01-2018,267,146.85,288.36,221.61,304.38,2.8,253.65
Mumbai,02-01-2018,235,129.25,253.8,195.05,267.9,2.47,223.25
Mumbai,03-01-2018,289,158.95,312.12,239.87,329.46,3.03,274.55
Mumbai,04-01-2018,319,175.45,344.52,264.77,363.66,3.35,303.05
Mumbai,05-01-2018,205,112.75,221.4,170.15,233.7,2.15,194.75
Mumbai,06-01-2018,232,127.6,250.56,192.56,264.48,2.44,220.4
Mumbai,07-01-2018,147,80.85,158.76,122.01,167.58,1.54,139.65
Mumbai,08-01-2018,183,100.65,197.64,151.89,208.62,1.92,173.85
Mumbai,09-01-2018,266,146.3,287.28,220.78,303.24,2.79,252.7
Mumbai,10-01-2018,286,157.3,308.88,237.38,326.04,3,271.7
Mumbai,11-01-2018,227,124.85,245.16,188.41,258.78,2.38,215.65
Mumbai,12-01-2018,219,120.45,236.52,181.77,249.66,2.3,208.05
Mumbai,13-01-2018,238,130.9,257.04,197.54,271.32,2.5,226.1
Mumbai,14-01-2018,240,132,259.2,199.2,273.6,2.52,228
Mumbai,15-01-2018,255,140.25,275.4,211.65,290.7,2.68,242.25
Mumbai,16-01-2018,201,110.55,217.08,166.83,229.14,2.11,190.95
Mumbai,17-01-2018,167,91.85,180.36,138.61,190.38,1.75,158.65
Mumbai,18-01-2018,156,85.8,168.48,129.48,177.84,1.64,148.2
Mumbai,19-01-2018,172,94.6,185.76,142.76,196.08,1.81,163.4
Mumbai,20-01-2018,180,99,194.4,149.4,205.2,1.89,171
Mumbai,21-01-2018,152,83.6,164.16,126.16,173.28,1.6,144.4
Mumbai,22-01-2018,187,102.85,201.96,155.21,213.18,1.96,177.65
Mumbai,23-01-2018,170,93.5,183.6,141.1,193.8,1.79,161.5
Mumbai,07-02-2018,239,131.45,258.12,198.37,272.46,2.51,227.05
Mumbai,08-02-2018,349,191.95,376.92,289.67,397.86,3.66,331.55
Mumbai,09-02-2018,133,73.15,143.64,110.39,151.62,1.4,126.35
Mumbai,10-02-2018,138,75.9,149.04,114.54,157.32,1.45,131.1
Mumbai,11-02-2018,106,58.3,114.48,87.98,120.84,1.11,100.7
Mumbai,12-02-2018,118,64.9,127.44,97.94,134.52,1.24,112.1
Mumbai,13-02-2018,118,64.9,127.44,97.94,134.52,1.24,112.1
Mumbai,14-02-2018,207,113.85,223.56,171.81,235.98,2.17,196.65
Mumbai,15-02-2018,125,68.75,135,103.75,142.5,1.31,118.75
Mumbai,16-02-2018,171,94.05,184.68,141.93,194.94,1.8,162.45
Mumbai,17-02-2018,142,78.1,153.36,117.86,161.88,1.49,134.9
Mumbai,18-02-2018,145,79.75,156.6,120.35,165.3,1.52,137.75
Mumbai,19-02-2018,184,101.2,198.72,152.72,209.76,1.93,174.8
Mumbai,20-02-2018,210,115.5,226.8,174.3,239.4,2.21,199.5
Mumbai,21-02-2018,197,108.35,212.76,163.51,224.58,2.07,187.15
